,疫情地区,新增,现有,累计,治愈,死亡
0,西藏,0,0,0,1,0
1,澳门,,0,0,82,0
2,青海,0,0,0,147,0
3,台湾,,80070,0,13742,3373
4,香港,,84,69,62644,9389
5,贵州,0,0,0,183,2
6,吉林,0,0,0,40195,5
7,新疆,0,0,0,1005,3
8,宁夏,0,0,0,122,0
9,内蒙古,37,37,0,1752,1
10,甘肃,0,0,0,679,2
11,天津,0,0,6,1969,3
12,山西,0,0,1,421,0
13,辽宁,11,11,0,1671,2
14,黑龙江,0,1,1,2971,13
15,海南,0,0,0,282,6
16,河北,0,0,0,1997,7
17,陕西,0,0,0,3280,3
18,云南,0,3,3,2139,2
19,广西,0,2,2,1634,2
20,福建,0,4,4,3245,1
21,上海,4,4,80,62122,595
22,北京,1,2,26,3272,9
23,江苏,0,0,0,2232,0
24,四川,0,1,11,2291,3
25,山东,0,0,0,2727,7
26,江西,0,0,0,1382,1
27,重庆,0,1,0,705,6
28,安徽,0,0,0,1059,6
29,湖南,0,0,0,1389,4
30,河南,0,0,7,3155,22
31,广东,0,4,4,7287,8
32,浙江,0,0,1,3127,1
33,湖北,0,0,0,63886,4512
